sale_id,sale_date,customer_id,store_id,product_id,quantity,total_amount
1,2023-01-05,1,1,1,2,1598.00
2,2023-01-08,2,2,3,3,1497.00
3,2023-01-15,3,3,5,1,3499.00
4,2023-01-20,4,1,7,1,5999.00
5,2023-02-02,5,4,9,2,1398.00
6,2023-02-10,6,2,2,1,1999.00
7,2023-02-14,7,5,4,1,2499.00
8,2023-02-22,8,1,6,2,2598.00
9,2023-03-01,9,3,10,1,2199.00
10,2023-03-09,10,4,8,3,2697.00
11,2023-03-15,1,1,4,1,2499.00
12,2023-03-20,2,2,1,1,799.00
13,2023-04-02,3,3,2,2,3998.00
14,2023-04-11,4,1,9,1,699.00
15,2023-04-18,5,4,7,1,5999.00
16,2023-05-01,6,2,5,1,3499.00
17,2023-05-09,7,5,3,4,1996.00
18,2023-05-19,8,1,6,1,1299.00
19,2023-06-03,9,3,10,2,4398.00
20,2023-06-15,10,4,1,3,2397.00
21,2023-06-25,1,1,2,1,1999.00
22,2023-07-04,2,2,8,2,1798.00
23,2023-07-14,3,3,4,1,2499.00
24,2023-07-22,4,1,9,3,2097.00
25,2023-08-05,5,4,6,1,1299.00
26,2023-08-12,6,2,7,1,5999.00
27,2023-08-28,7,5,1,2,1598.00
28,2023-09-03,8,1,3,5,2495.00
29,2023-09-17,9,3,5,1,3499.00
30,2023-09-29,10,4,10,1,2199.00
